Cu,Al,Mn,Ni,Co,Zn,Si,Be,Hf,Fe,Ti,V,Mg,Cr,Ag,Nb,Zr,Ms,Mp,Mf,As,Ap,Af,HMA,HAM,Crlrat,Ttemp1,Ttime1,Ttemp2,Ttime2
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,398,,343,374,,414,4.3,,0,453,5,0,0
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,395,,344,376,,416,4.5,,0,453,10,0,0
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,390,,346,378,,412,4.2,,0,523,0.25,0,0
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,390,,347,383,,418,4.9,,0,523,0.5,0,0
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,395,,353,387,,419,4.8,,0,523,1,0,0
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,397,,359,394,,423,4.4,,0,523,2,0,0
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,396,,364,396,,420,4,,0,573,0.25,0,0
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,404,,368,405,,427,3.4,,0,573,1,0,0
80.9,6.6,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,159,151,171,190,213,,,0,1173,0.25,0,0
82.7,7.6,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,234,224,245,250,258,,,0,1173,0.25,0,0
82.1,8.1,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,205,195,215,223,232,,,0,1173,0.25,0,0
80.9,6.6,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,216,206,229,248,266,,,0,1173,0.25,423,0.25
82.7,7.6,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,345,335,357,364,370,,,0,1173,0.25,423,0.25
82.1,8.1,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,316,303,326,332,336,,,0,1173,0.25,423,0.25
91.5,5.1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.48,,357.11,387.31,402.29,415.45,,,0,1173,1,0,0
92.2,5.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.98,,506.65,601.67,635.28,646.95,,,0,1173,1,0,0
82.4,12.5,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,,222,247,,268,,,0,1173,0.25,423,0.25
82.6,11.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,,277,302,,338,,,0,1173,0.25,423,0.25
82.2,10.8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,,294,288,,344,,,0,1173,0.25,423,0.25
81.7,10.3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,,290,313,,324,,,0,1173,0.25,423,0.25
80.5,11.4,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,,176,217,,227,,,0,1173,0.25,423,0.25
82.6,8.6,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,,358,381,,397,,,0,1173,0.25,423,0.25
81.9,9.2,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,,298,318,,341,,,0,1173,0.25,423,0.25
81.4,9.7,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,,269,288,,305,,,0,1173,0.25,423,0.25
82.7,7.6,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,,335,357,,370,,,0,1173,0.25,423,0.25
82.2,8.1,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,,303,326,,336,,,0,1173,0.25,423,0.25
81.5,8.7,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,,263,277,,301,,,0,1173,0.25,423,0.25
80.9,9.2,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,,264,278,,288,,,0,1173,0.25,423,0.25
80.4,9.7,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,,216,235,,250,,,0,1173,0.25,423,0.25
82.3,7.1,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,,270,295,,315,,,0,1173,0.25,423,0.25
81.8,7.6,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,,249,267,,288,,,0,1173,0.25,423,0.25
81.2,8.1,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,,216,240,,255,,,0,1173,0.25,423,0.25
